date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:05:39	9481/9481	---M--	200	added ('OK')	application/javascript	date:Sat,%2003%20Feb%202018%2010:58:52%20GMT	https://sjesinstitutions.com/sjes-society-polytechnic/wp-content/themes/jevelin/js/jquery.hoverdir.js?ver=1.0	C:/My%20Web%20Sites/SJES%20Diploma/sjesinstitutions.com/sjes-society-polytechnic/wp-content/themes/jevelin/js/jquery.hoverdir5152.js	(from https://sjesinstitutions.com/sjes-society-polytechnic/)
21:05:39	1126/1126	---M--	200	added ('OK')	application/javascript	date:Sat,%2003%20Feb%202018%2010:58:52%20GMT	https://sjesinstitutions.com/sjes-society-polytechnic/wp-content/themes/jevelin/js/jquery.actual.min.js?ver=1.0.16	C:/My%20Web%20Sites/SJES%20Diploma/sjesinstitutions.com/sjes-society-polytechnic/wp-content/themes/jevelin/js/jquery.actual.mine0a5.js	(from https://sjesinstitutions.com/sjes-society-polytechnic/)
21:05:40	20898/20898	---M--	200	added ('OK')	application/javascript	date:Sat,%2003%20Feb%202018%2010:58:52%20GMT	https://sjesinstitutions.com/sjes-society-polytechnic/wp-content/themes/jevelin/js/smoothscroll.js?ver=1.4.4	C:/My%20Web%20Sites/SJES%20Diploma/sjesinstitutions.com/sjes-society-polytechnic/wp-content/themes/jevelin/js/smoothscrollc2d0.js	(from https://sjesinstitutions.com/sjes-society-polytechnic/)
21:05:40	1403/1403	---M--	200	added ('OK')	application/javascript	date:Thu,%2011%20Oct%202018%2004:00:23%20GMT	https://sjesinstitutions.com/sjes-society-polytechnic/wp-includes/js/wp-embed.min.js?ver=5.0.11	C:/My%20Web%20Sites/SJES%20Diploma/sjesinstitutions.com/sjes-society-polytechnic/wp-includes/js/wp-embed.min3a40.js	(from https://sjesinstitutions.com/sjes-society-polytechnic/)
21:05:40	47815/47815	---M--	200	added ('OK')	application/javascript	date:Sat,%2003%20Feb%202018%2010:58:52%20GMT	https://sjesinstitutions.com/sjes-society-polytechnic/wp-content/themes/jevelin/js/scripts.js?ver=1.0	C:/My%20Web%20Sites/SJES%20Diploma/sjesinstitutions.com/sjes-society-polytechnic/wp-content/themes/jevelin/js/scripts5152.js	(from https://sjesinstitutions.com/sjes-society-polytechnic/)
21:05:40	1078/1078	---M--	200	added ('OK')	application/javascript	date:Wed,%2010%20Oct%202018%2004:11:25%20GMT	https://sjesinstitutions.com/sjes-society-polytechnic/wp-includes/js/comment-reply.min.js?ver=5.0.11	C:/My%20Web%20Sites/SJES%20Diploma/sjesinstitutions.com/sjes-society-polytechnic/wp-includes/js/comment-reply.min3a40.js	(from https://sjesinstitutions.com/sjes-society-polytechnic/)
21:05:41	12136/12136	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2025%20Aug%202018%2011:19:00%20GMT	https://sjesinstitutions.com/sjes-society-polytechnic/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons.eot?5510888	C:/My%20Web%20Sites/SJES%20Diploma/sjesinstitutions.com/sjes-society-polytechnic/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons90c6.eot	(from https://sjesinstitutions.com/sjes-society-polytechnic/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.8)
21:05:41	7536/7536	---M--	200	added ('OK')	font/woff	date:Sat,%2025%20Aug%202018%2011:19:00%20GMT	https://sjesinstitutions.com/sjes-society-polytechnic/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons.woff?5510888	C:/My%20Web%20Sites/SJES%20Diploma/sjesinstitutions.com/sjes-society-polytechnic/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons90c6.woff	(from https://sjesinstitutions.com/sjes-society-polytechnic/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.8)
21:05:41	11968/11968	---M--	200	added ('OK')	font/ttf	date:Sat,%2025%20Aug%202018%2011:19:00%20GMT	https://sjesinstitutions.com/sjes-society-polytechnic/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons.ttf?5510888	C:/My%20Web%20Sites/SJES%20Diploma/sjesinstitutions.com/sjes-society-polytechnic/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons90c6.ttf	(from https://sjesinstitutions.com/sjes-society-polytechnic/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.8)
21:05:42	13797/13797	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2025%20Aug%202018%2011:19:00%20GMT	https://sjesinstitutions.com/sjes-society-polytechnic/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons.svg?5510888	C:/My%20Web%20Sites/SJES%20Diploma/sjesinstitutions.com/sjes-society-polytechnic/wp-content/plugins/revslider/public/assets/fonts/revicons/revicons90c6.svg	(from https://sjesinstitutions.com/sjes-society-polytechnic/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.8)
21:05:42	326/326	---M--	200	added ('OK')	text/html	date:Sat,%2025%20Aug%202018%2011:19:00%20GMT	https://sjesinstitutions.com/sjes-society-polytechnic/wp-content/plugins/revslider/public/assets/css/openhand.cur	C:/My%20Web%20Sites/SJES%20Diploma/sjesinstitutions.com/sjes-society-polytechnic/wp-content/plugins/revslider/public/assets/css/openhand.html	(from https://sjesinstitutions.com/sjes-society-polytechnic/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.8)
21:05:42	326/326	---M--	200	added ('OK')	text/html	date:Sat,%2025%20Aug%202018%2011:19:00%20GMT	https://sjesinstitutions.com/sjes-society-polytechnic/wp-content/plugins/revslider/public/assets/css/closedhand.cur	C:/My%20Web%20Sites/SJES%20Diploma/sjesinstitutions.com/sjes-society-polytechnic/wp-content/plugins/revslider/public/assets/css/closedhand.html	(from https://sjesinstitutions.com/sjes-society-polytechnic/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.8)
21:05:43	933/933	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Aug%202018%2011:18:54%20GMT	https://sjesinstitutions.com/sjes-society-polytechnic/wp-content/plugins/revslider/public/assets/assets/gridtile.png	C:/My%20Web%20Sites/SJES%20Diploma/sjesinstitutions.com/sjes-society-polytechnic/wp-content/plugins/revslider/public/assets/assets/gridtile.png	(from https://sjesinstitutions.com/sjes-society-polytechnic/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.8)
21:05:43	951/951	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Aug%202018%2011:18:54%20GMT	https://sjesinstitutions.com/sjes-society-polytechnic/wp-content/plugins/revslider/public/assets/assets/gridtile_white.png	C:/My%20Web%20Sites/SJES%20Diploma/sjesinstitutions.com/sjes-society-polytechnic/wp-content/plugins/revslider/public/assets/assets/gridtile_white.png	(from https://sjesinstitutions.com/sjes-society-polytechnic/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.8)
21:05:43	938/938	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Aug%202018%2011:18:54%20GMT	https://sjesinstitutions.com/sjes-society-polytechnic/wp-content/plugins/revslider/public/assets/assets/gridtile_3x3.png	C:/My%20Web%20Sites/SJES%20Diploma/sjesinstitutions.com/sjes-society-polytechnic/wp-content/plugins/revslider/public/assets/assets/gridtile_3x3.png	(from https://sjesinstitutions.com/sjes-society-polytechnic/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.8)
21:05:43	935/935	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Aug%202018%2011:18:54%20GMT	https://sjesinstitutions.com/sjes-society-polytechnic/wp-content/plugins/revslider/public/assets/assets/gridtile_3x3_white.png	C:/My%20Web%20Sites/SJES%20Diploma/sjesinstitutions.com/sjes-society-polytechnic/wp-content/plugins/revslider/public/assets/assets/gridtile_3x3_white.png	(from https://sjesinstitutions.com/sjes-society-polytechnic/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.8)
21:05:44	184/184	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Aug%202018%2011:18:54%20GMT	https://sjesinstitutions.com/sjes-society-polytechnic/wp-content/plugins/revslider/public/assets/assets/coloredbg.png	C:/My%20Web%20Sites/SJES%20Diploma/sjesinstitutions.com/sjes-society-polytechnic/wp-content/plugins/revslider/public/assets/assets/coloredbg.png	(from https://sjesinstitutions.com/sjes-society-polytechnic/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.8)
